72.0		658.0		339.0		0.0		
73.0		666.0		340.0		0.0		
75.0		677.0		341.0		0.0		
79.0		693.0		344.0		0.0		
85.0		711.0		347.0		0.0		
92.0		727.0		350.0		0.0		
99.0		733.0		350.0		0.0		
104.0		726.0		349.0		0.0		
107.0		710.0		345.0		0.0		
111.0		693.0		342.0		0.0		
115.0		678.0		338.0		0.0		
120.0		667.0		336.0		0.0		
126.0		659.0		334.0		0.0		
132.0		652.0		334.0		0.0		
137.0		646.0		334.0		0.0		
141.0		638.0		334.0		0.0		
145.0		628.0		335.0		0.0		
148.0		619.0		337.0		0.0		
151.0		609.0		340.0		1.0		
154.0		601.0		344.0		5.0		
158.0		595.0		348.0		12.0		
162.0		589.0		353.0		19.0		
167.0		586.0		357.0		27.0		
171.0		583.0		360.0		34.0		
176.0		581.0		363.0		40.0		
179.0		579.0		366.0		46.0		
183.0		579.0		369.0		53.0		
186.0		578.0		370.0		61.0		
188.0		576.0		368.0		73.0		
190.0		574.0		360.0		86.0		
193.0		572.0		347.0		101.0		
198.0		569.0		326.0		116.0		
205.0		567.0		298.0		129.0		
216.0		565.0		267.0		140.0		
229.0		563.0		234.0		150.0		
244.0		562.0		204.0		159.0		
261.0		560.0		177.0		167.0		
278.0		558.0		155.0		177.0		
295.0		553.0		138.0		186.0		
312.0		548.0		125.0		194.0		
329.0		541.0		114.0		201.0		
346.0		535.0		105.0		205.0		
362.0		530.0		96.0		207.0		
378.0		526.0		88.0		207.0		
393.0		521.0		81.0		206.0		
407.0		517.0		75.0		204.0		
420.0		511.0		70.0		202.0		
434.0		507.0		66.0		198.0		
447.0		504.0		63.0		192.0		
460.0		508.0		61.0		184.0		
472.0		519.0		60.0		173.0		
480.0		538.0		61.0		159.0		
485.0		561.0		62.0		142.0		
487.0		582.0		66.0		123.0		
487.0		593.0		71.0		104.0		
488.0		590.0		77.0		83.0		
490.0		569.0		84.0		63.0		
495.0		533.0		92.0		44.0		
503.0		486.0		102.0		27.0		
511.0		436.0		113.0		14.0		
519.0		388.0		126.0		6.0		
526.0		346.0		141.0		1.0		
531.0		312.0		157.0		0.0		
535.0		282.0		175.0		1.0		
541.0		256.0		193.0		3.0		
548.0		230.0		211.0		5.0		
557.0		205.0		230.0		7.0		
568.0		180.0		248.0		7.0		
579.0		157.0		267.0		7.0		
591.0		137.0		285.0		6.0		
602.0		120.0		303.0		6.0		
613.0		106.0		319.0		6.0		
622.0		95.0		333.0		5.0		
630.0		86.0		344.0		5.0		
635.0		78.0		352.0		5.0		
635.0		70.0		357.0		5.0		
630.0		64.0		360.0		5.0		
619.0		58.0		361.0		4.0		
603.0		53.0		361.0		4.0		
584.0		48.0		359.0		4.0		
563.0		44.0		354.0		4.0		
542.0		41.0		347.0		4.0		
521.0		38.0		338.0		4.0		
499.0		36.0		328.0		4.0		
477.0		35.0		319.0		4.0		
454.0		33.0		310.0		5.0		
429.0		31.0		304.0		5.0		
402.0		30.0		301.0		5.0		
374.0		29.0		300.0		5.0		
345.0		28.0		302.0		5.0		
316.0		27.0		306.0		6.0		
286.0		26.0		312.0		6.0		
256.0		26.0		320.0		8.0		
226.0		26.0		330.0		9.0		
196.0		26.0		340.0		11.0		
169.0		25.0		352.0		13.0		
144.0		26.0		364.0		16.0		
123.0		26.0		377.0		19.0		
105.0		28.0		391.0		23.0		
91.0		30.0		406.0		28.0		
79.0		33.0		421.0		36.0		
69.0		38.0		434.0		46.0		
60.0		43.0		445.0		58.0		
52.0		49.0		452.0		72.0		
45.0		57.0		453.0		87.0		
39.0		66.0		450.0		104.0		
35.0		77.0		441.0		123.0		
32.0		90.0		430.0		143.0		
30.0		105.0		416.0		165.0		
29.0		123.0		403.0		189.0		
28.0		142.0		392.0		214.0		
28.0		163.0		382.0		241.0		
28.0		187.0		374.0		268.0		
27.0		213.0		365.0		294.0		
27.0		240.0		354.0		317.0		
26.0		270.0		339.0		337.0		
26.0		302.0		319.0		352.0		
25.0		334.0		294.0		363.0		
25.0		367.0		266.0		370.0		
25.0		399.0		236.0		370.0		
25.0		430.0		207.0		366.0		
26.0		459.0		179.0		355.0		
26.0		485.0		155.0		339.0		
26.0		510.0		133.0		318.0		
25.0		531.0		114.0		294.0		
25.0		549.0		98.0		267.0		
25.0		565.0		84.0		241.0		
25.0		578.0		71.0		216.0		
26.0		588.0		60.0		192.0		
28.0		595.0		51.0		171.0		
31.0		599.0		43.0		152.0		
34.0		599.0		37.0		133.0		
38.0		596.0		32.0		114.0		
43.0		590.0		28.0		96.0		
49.0		580.0		25.0		78.0		
56.0		568.0		23.0		60.0		
65.0		553.0		21.0		45.0		
76.0		536.0		19.0		32.0		
91.0		516.0		18.0		22.0		
107.0		493.0		16.0		15.0		
126.0		468.0		14.0		12.0		
146.0		439.0		11.0		10.0		
166.0		408.0		8.0		10.0		
188.0		376.0		6.0		10.0		
209.0		343.0		3.0		10.0		
232.0		310.0		1.0		10.0		
255.0		278.0		0.0		9.0		
278.0		247.0		0.0		9.0		
300.0		217.0		0.0		10.0		
319.0		189.0		0.0		12.0		
335.0		163.0		0.0		16.0		
345.0		139.0		0.0		21.0		
350.0		117.0		1.0		29.0		
350.0		98.0		2.0		39.0		
345.0		82.0		3.0		52.0		
335.0		70.0		5.0		68.0		
322.0		60.0		6.0		87.0		
305.0		54.0		8.0		109.0		
286.0		50.0		9.0		134.0		
264.0		49.0		11.0		163.0		
240.0		51.0		12.0		196.0		
214.0		55.0		14.0		230.0		
188.0		61.0		16.0		266.0		
163.0		70.0		18.0		301.0		
140.0		81.0		19.0		333.0		
119.0		96.0		20.0		361.0		
100.0		113.0		20.0		382.0		
85.0		133.0		20.0		396.0		
73.0		156.0		20.0		402.0		
63.0		180.0		19.0		398.0		
55.0		205.0		19.0		385.0		
50.0		230.0		18.0		364.0		
46.0		253.0		17.0		337.0		
44.0		274.0		16.0		305.0		
43.0		292.0		16.0		269.0		
45.0		306.0		15.0		233.0		
49.0		315.0		15.0		197.0		
56.0		319.0		15.0		163.0		
66.0		316.0		16.0		131.0		
80.0		308.0		16.0		104.0		
96.0		294.0		17.0		81.0		
115.0		274.0		17.0		62.0		
134.0		251.0		17.0		47.0		
155.0		225.0		17.0		36.0		
177.0		197.0		17.0		28.0		
199.0		171.0		16.0		23.0		
221.0		145.0		16.0		19.0		
242.0		122.0		16.0		16.0		
263.0		102.0		16.0		14.0		
282.0		84.0		16.0		13.0		
299.0		69.0		15.0		12.0		
314.0		57.0		14.0		11.0		
327.0		47.0		13.0		11.0		
340.0		39.0		11.0		10.0		
353.0		32.0		10.0		9.0		
368.0		28.0		8.0		8.0		
386.0		25.0		6.0		8.0		
409.0		23.0		4.0		7.0		
436.0		23.0		2.0		6.0		
468.0		23.0		1.0		6.0		
504.0		24.0		0.0		6.0		
543.0		25.0		0.0		6.0		
582.0		26.0		0.0		6.0		
619.0		26.0		0.0		7.0		
651.0		27.0		0.0		8.0		
676.0		27.0		0.0		11.0		
691.0		27.0		0.0		15.0		
694.0		28.0		0.0		22.0		
684.0		28.0		0.0		32.0		
661.0		29.0		2.0		46.0		
627.0		29.0		3.0		65.0		
581.0		29.0		6.0		90.0		
526.0		30.0		8.0		120.0		
466.0		30.0		10.0		155.0		
403.0		31.0		12.0		194.0		
340.0		32.0		14.0		236.0		
280.0		35.0		15.0		278.0		
225.0		40.0		16.0		318.0		
178.0		47.0		16.0		353.0		
138.0		58.0		17.0		380.0		
105.0		72.0		17.0		398.0		
79.0		91.0		18.0		405.0		
60.0		114.0		18.0		400.0		
45.0		141.0		18.0		384.0		
35.0		169.0		17.0		358.0		
28.0		199.0		18.0		324.0		
24.0		228.0		18.0		284.0		
22.0		256.0		18.0		242.0		
22.0		279.0		19.0		201.0		
25.0		298.0		20.0		162.0		
